taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
133,Kensington,Brooklyn,1464,1.4760928961748634,1.5375184918464309,1.0759212179579105,1.4378107762630128,0.16143251554461635,54.651226677575494,102.8098024795717,0.0614255956715675
134,Kew Gardens,Queens,1464,1.450136612021858,1.46171388546382,1.1092259469965295,1.4705533909385973,0.028363975120211826,55.70970390345252,103.46903702973252,0.011577273441962209
135,Kew Gardens Hills,Queens,1464,0.8265027322404371,1.0011482336954638,0.8277880244195787,1.0842953861344748,0.01976844598070815,48.0908248828113,128.8006825335637,0.17464550145502653
136,Kingsbridge Heights,Bronx,1464,0.967896174863388,1.028215618651496,0.8465583017276774,1.143776204018602,0.10648571152100283,44.65583355010193,119.77719319987307,0.060319443788107954
137,Kips Bay,Manhattan,1464,66.21584699453553,67.61763965853577,11.450465071222425,16.167440571270884,0.8403409000183167,25.27198076356057,21.253670769066026,1.401792664000238
138,LaGuardia Airport,Queens,1464,149.89890710382514,151.47937199771988,35.85857928459359,53.34605157084773,0.7897953941647737,76.77260921807603,42.82608162617604,1.5804648938947217
139,Laurelton,Queens,1464,0.7684426229508197,0.9016628529999475,0.8066859461813536,1.121174371749742,0.118000000269192,53.3799701936413,142.12954190288838,0.1332202300491278
140,Lenox Hill East,Manhattan,1464,111.0006830601093,116.5913402155998,15.099062313064435,21.735154128330034,0.9363967608991475,24.369570650429637,20.453733728383533,5.590657155490505
141,Lenox Hill West,Manhattan,1464,127.56898907103825,131.38231848277036,17.648946838124395,24.89817670117388,0.9098035789335838,21.593833495436012,18.902089305287614,3.8133294117320933
142,Lincoln Square East,Manhattan,1464,176.52868852459017,179.32779271097132,27.778641426697305,44.57076083716777,0.8849057978233018,28.27451147619513,21.99830913045019,2.799104186381153
143,Lincoln Square West,Manhattan,1464,67.27527322404372,70.50089791538652,11.490062018113571,15.767477725097097,0.8951314068260857,32.88951835287732,26.193727756752057,3.2256246913428104
144,Little Italy/NoLiTa,Manhattan,1464,64.00546448087432,62.76311504303613,10.547703983808228,16.122445737921343,0.9030869940497797,33.21033775277611,25.52820901095968,-1.242349437838185
145,Long Island City/Hunters Point,Queens,1464,12.979508196721312,12.755755069784273,4.587489053606776,6.843010274993718,0.41598845660860684,48.390454164584646,38.022834161354474,-0.22375312693703803
146,Long Island City/Queens Plaza,Queens,1464,5.7390710382513666,5.732994463248692,2.6848205012928843,3.9780604465173606,0.15106366372468294,62.61843497264007,52.25918650007626,-0.006076575002674179
